State,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,How often the home health team began their patients care in a timely manner,How often the home health team taught patients (or their family caregivers) about their drugs,How often the home health team checked patients risk of falling,How often the home health team checked patients for depression,How often the home health team made sure that their patients have received a flu shot for the current flu season.,How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot).,With diabetes - how often the home health team got doctors orders and gave foot care and taught patients about foot care,How often the home health team checked patients for pain,How often the home health team treated their patients pain,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores),How often the home health team checked patients for the risk of developing pressure sores (bed sores),How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients had less pain when moving around,How often patients breathing improved,How often patients wounds improved or healed after an operation,How often patients got better at taking their drugs correctly by mouth,How often patients receiving home health care needed urgent unplanned care in the ER without being admitted,How often home health patients had to be admitted to the hospital,Lbl: Poor Hosp Rating 1SD,Lbl: Poor Hosp Rating 2SD,Lbl: Poor ER Rating 1SD,Lbl: Poor ER Rating 2SD,Lbl: Poor Pain Rating 1SD,Lbl: Poor Pain Rating 2SD,Lbl: Poor Drugs Rating 1SD,Lbl: Poor Drugs Rating 2SD
NC,CHARLOTTE,28273,7048315000,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/19/1983,97,91,99,98,73,72,92,99,98,87,99,61,56,63,63,63,92,46,10,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SALISBURY,28144,7046391060,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/15/1984,98,94,99,98,83,88,98,99,100,97,99,61,55,63,60,61,85,45,11,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LUMBERTON,28358,9106715600,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/20/1984,93,76,96,69,59,52,94,98,98,95,93,54,55,56,60,61,92,43,12,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WARRENTON,27589,2522574081,State/County,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,08/08/1984,88,97,99,99,75,67,99,98,100,99,99,60,73,55,74,80,69,52,17,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,GREENSBORO,27409,3368898446,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/19/1984,94,99,100,99,94,96,97,100,98,98,100,81,73,81,70,77,,51,25,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NC,REIDSVILLE,27320,3366161955,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/02/1984,91,100,100,100,89,92,100,100,100,100,100,58,55,59,69,65,89,48,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,BURLINGTON,27215,3365381194,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/07/1984,86,96,99,99,78,77,98,99,100,99,99,61,54,57,60,60,83,52,11,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,BURLINGTON,27215,3365320100,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/19/1984,87,98,100,90,86,93,95,100,100,100,100,60,59,50,42,50,87,31,15,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
NC,KINSTON,28501,2525221458,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/20/1984,88,60,99,99,68,65,92,99,85,96,98,58,48,58,77,62,92,52,16,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HIGH POINT,27265,3368788824,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/08/1985,88,94,98,98,77,76,96,99,99,98,98,56,58,58,60,60,84,41,12,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CONCORD,28025,7047842111,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/20/1985,98,89,100,97,82,85,99,99,100,99,100,63,56,66,64,69,94,47,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FAYETTEVILLE,28304,9106096740,Proprietary,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,09/17/1985,83,58,99,95,55,44,77,99,87,82,98,62,55,62,63,68,100,57,8,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,ROXBORO,27573,3365973050,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/06/1985,97,95,100,96,84,86,98,99,98,99,100,70,65,68,65,75,93,54,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,NEW BERN,28560,2526338182,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/10/1985,98,99,100,100,88,90,90,100,92,88,99,64,73,67,63,59,91,53,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,GASTONIA,28054,7048641030,Other,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,02/11/1986,97,96,99,100,79,78,98,99,100,97,99,67,67,68,65,66,93,50,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FAYETTEVILLE,28304,9104836144,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,10/14/1985,82,73,78,95,71,74,74,100,68,65,100,61,46,62,60,83,97,53,10,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LEXINGTON,27292,3362490382,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/14/1986,94,98,100,96,72,67,98,98,99,98,99,66,65,72,74,83,94,52,10,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,DURHAM,27704,9196203853,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/09/1986,90,96,100,100,82,83,99,100,100,100,100,60,62,66,67,70,82,51,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FOREST CITY,28043,8282453575,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/16/1987,91,90,98,99,69,74,97,98,100,98,97,58,59,61,54,62,94,43,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,KANNAPOLIS,28083,7049331001,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/25/1987,89,85,99,99,66,69,96,97,99,96,100,63,61,67,68,70,95,51,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,MOREHEAD CITY,28557,2527269300,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/08/1987,93,90,100,100,90,93,99,100,100,99,100,55,56,67,65,69,90,54,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,MOUNT AIRY,27030,3367197434,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/18/1987,96,99,89,98,85,81,99,100,100,100,100,72,59,70,62,67,96,47,10,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,GREENSBORO,27407,3362746937,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/06/1988,84,86,94,96,70,77,79,99,95,90,100,65,53,75,66,67,85,51,14,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WINSTON SALEM,27103,3367600520,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/29/1988,86,88,100,99,74,80,91,98,98,96,99,65,66,69,66,71,85,58,10,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,YANCEYVILLE,27379,3366949592,Local,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,07/01/1988,86,55,97,95,77,88,67,98,75,60,99,58,42,44,49,55,,36,9,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27607,9197844548,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/07/1988,93,99,100,100,84,93,96,100,100,99,100,60,61,65,69,59,83,49,11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHARLOTTE,28269,7045949029,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/02/1988,79,81,98,99,56,57,88,99,99,96,100,63,51,67,77,70,90,52,10,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27609,9198819492,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/27/1989,89,86,99,95,70,67,98,99,100,99,100,59,54,62,61,68,92,47,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27604,9193500100,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/29/1989,98,99,100,100,81,86,99,100,100,99,100,61,56,64,61,67,84,47,16,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,VALDESE,28690,8285806450,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/08/1990,94,96,100,99,80,86,93,99,98,92,100,64,67,67,63,64,87,54,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LEXINGTON,27292,3362488212,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/10/1991,87,84,100,100,77,79,93,99,99,98,98,64,63,70,63,73,94,57,13,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27607,9198284450,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/11/1991,62,93,100,91,85,93,84,98,99,98,100,45,42,55,48,75,,40,6,14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NC,WINSTON-SALEM,27103,3367603634,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/27/1991,94,87,100,95,74,69,92,97,97,79,97,63,51,72,71,71,89,56,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LINCOLNTON,28092,7047320943,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/02/1992,97,96,99,98,80,90,93,99,95,88,100,64,61,69,71,74,94,53,11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27615,9198461018,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/18/1992,94,97,100,99,86,85,97,99,100,99,100,65,65,69,72,69,96,57,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FLETCHER,28732,8286875261,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/18/1992,90,97,100,99,76,71,99,99,100,100,100,62,63,62,60,60,91,45,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHARLOTTE,28216,7045982716,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/02/1992,81,90,97,97,76,79,94,99,98,97,100,58,59,65,83,64,81,61,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,ASHEBORO,27204,3366729300,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/15/1993,86,86,99,77,71,100,94,100,98,95,82,,,,,,,,,,,,,,,,,
NC,ELIZABETH CITY,27909,7575533000,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/01/1993,94,83,100,97,75,73,93,99,99,94,100,67,69,68,57,67,93,57,15,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WINSTON SALEM,27103,3363973331,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/24/1994,86,75,96,99,81,78,100,97,95,96,98,54,56,65,70,68,,50,15,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LEXINGTON,27295,3362497813,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/21/1994,87,97,90,97,76,67,89,99,97,90,100,60,56,65,60,64,95,43,14,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,MONROE,28112,7042833381,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,03/01/1995,87,99,99,98,80,85,97,99,99,96,99,71,71,76,80,76,90,59,15,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HIGH POINT,27262,3368848869,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/31/1995,93,84,100,96,70,66,94,100,94,92,99,59,56,62,73,77,89,43,10,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WINSTON-SALEM,27106,3367687200,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/06/1995,95,99,79,98,80,82,98,100,100,99,100,73,61,72,74,71,76,61,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,MOORESVILLE,28117,7046604480,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/08/1996,85,96,99,98,79,76,93,99,99,96,98,66,58,69,54,72,98,57,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,YOUNGSVILLE,27596,9195542279,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/09/1996,94,95,100,99,55,55,99,99,99,99,99,59,55,59,73,79,87,47,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WINDSOR,27983,2527942622,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/01/1996,87,97,99,99,84,83,94,99,99,97,99,64,57,65,81,93,100,64,23,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NC,GARNER,27529,9196621635,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/28/1996,78,60,100,69,71,74,94,98,90,95,98,62,48,51,,,,,,,,,,,,,,
NC,GREENVILLE,27835,2528477830,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/29/1996,96,94,100,100,78,75,96,99,99,97,100,69,60,68,80,81,96,57,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HENDERSON,27536,2524313708,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/12/1997,97,96,100,99,84,87,98,100,99,97,100,66,59,65,60,76,95,51,12,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHAPEL HILL,27514,9199664915,State/County,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/12/1997,87,98,100,97,71,79,97,99,100,98,99,62,61,65,68,69,81,47,11,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LELAND,28451,9103322341,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/26/1997,99,95,99,99,79,78,99,100,100,99,99,68,66,74,76,82,90,53,13,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,BOONE,28607,8282661166,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/11/1997,83,94,100,99,78,91,97,100,99,97,99,60,51,66,64,68,97,57,11,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,PINK HILL,28572,2525686022,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/16/1998,88,80,94,95,55,46,92,97,98,91,98,57,46,55,66,76,91,38,19,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,KERNERSVILLE,27284,3365640185,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/12/1998,86,79,99,97,37,34,84,98,98,96,100,54,47,57,61,58,,38,13,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,JACKSONVILLE,28546,2525239094,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,12/01/1998,94,83,97,85,68,69,80,98,95,79,97,61,56,61,70,68,98,37,15,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WEST END,27376,9102952211,Private,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10/03/1998,99,99,100,99,86,85,100,100,100,99,100,65,64,70,82,78,89,52,12,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LUMBERTON,28358,9105220010,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/07/2000,71,93,100,99,71,72,99,100,100,98,99,61,59,64,76,75,97,41,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,GREENSBORO,27408,3362734600,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,11/29/2000,95,88,98,97,79,45,63,97,88,43,98,64,63,67,73,87,100,55,6,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HICKORY,28602,7043242121,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/05/2000,91,79,93,97,76,81,97,95,99,100,95,74,58,73,57,82,,55,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHARLOTTE,28211,7043728230,Proprietary,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,12/01/2000,93,77,93,99,60,56,93,95,97,92,99,65,60,68,71,78,95,55,13,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,ASHEVILLE,28803,8282981370,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/03/2002,91,95,100,100,51,60,96,99,98,93,100,65,62,71,70,77,88,56,17,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,DURHAM,27713,9193611921,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/04/2002,96,83,100,100,82,79,91,99,97,95,100,59,51,57,62,74,88,47,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27615,9198706733,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,08/06/2003,90,97,100,97,85,87,99,100,100,100,99,65,60,70,60,68,88,48,16,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,TROY,27371,9105723800,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/02/2003,97,98,100,99,79,83,99,100,100,99,100,57,53,54,46,56,98,35,17,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NC,RALEIGH,27616,9198504303,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/22/2004,89,77,99,99,88,79,42,98,98,91,99,67,63,67,72,76,97,53,14,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FAYETTEVILLE,28304,9104830694,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,02/01/2007,77,81,99,93,63,53,94,98,98,97,96,61,50,60,50,59,94,45,16,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHARLOTTE,28204,7046945992,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,04/02/2008,88,85,97,98,93,85,77,100,81,63,99,55,59,60,60,78,,59,20,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27612,9197854949,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/21/2010,95,96,100,94,93,98,96,99,99,96,100,74,69,81,74,85,,52,9,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CHARLOTTE,28209,7045226144,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/25/2010,97,94,100,99,78,72,96,98,96,94,100,54,57,54,65,61,69,39,13,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,LUMBERTON,28358,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/17/2010,90,95,91,90,38,38,90,99,98,96,98,55,47,55,63,63,82,45,11,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,JACKSONVILLE,28546,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/03/2010,91,95,99,98,85,81,93,99,100,94,100,60,69,70,76,80,100,51,14,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SUPPLY,28462,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/15/2010,95,93,100,99,76,78,86,97,97,98,99,50,50,62,66,79,97,46,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WHITEVILLE,28472,9106425808,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10/19/2010,89,95,98,98,69,72,93,98,99,95,100,51,61,62,65,67,100,39,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,FAYETTEVILLE,28304,9108648411,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,10/15/2010,84,90,97,98,58,58,97,96,99,100,94,55,71,61,79,83,93,48,9,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WASHINGTON,27889,2529758330,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/13/2011,93,96,100,100,83,86,96,100,100,97,100,70,67,65,82,80,95,56,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,RALEIGH,27608,9198382768,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/18/2012,91,93,99,98,82,76,86,99,100,99,100,67,62,65,61,62,88,51,12,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SNOW HILL,28580,2527478141,Proprietary,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,10/12/2013,98,86,90,95,71,71,95,98,94,98,94,60,65,63,67,72,,56,15,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HICKORY,28602,8283226131,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/30/1996,86,83,100,99,78,76,91,99,99,96,100,65,57,69,56,68,84,48,15,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,DUNN,28334,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,89,98,99,96,85,84,83,97,99,96,99,60,57,66,73,80,96,47,14,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WADESBORO,28170,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,87,77,89,99,63,59,75,99,90,96,98,56,65,57,83,79,100,45,16,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,MAXTON,28364,9108441008,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,92,84,98,82,36,24,85,100,100,95,98,43,47,60,63,,,35,20,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SILER CITY,27344,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,88,93,92,99,83,78,74,99,97,95,99,56,64,60,59,71,89,39,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,THOMASVILLE,27360,9108153122,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,91,97,100,99,88,86,96,100,99,97,100,62,73,65,77,76,,46,10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SHELBY,28150,7044843294,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/01/1998,90,80,98,99,73,72,89,99,97,95,100,63,58,65,65,66,90,47,16,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,KERNERSVILLE,27284,3367608336,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,06/01/1998,84,74,99,95,71,71,87,99,96,95,100,61,59,63,65,67,88,47,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,HERTFORD,27944,2523384066,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/15/1998,90,96,100,98,63,66,92,99,98,97,97,54,39,50,64,53,90,43,13,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CURRITUCK,27929,2523384066,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/15/1998,88,93,100,97,79,75,85,99,99,97,99,60,44,66,58,55,96,49,8,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,CAMDEN,27921,2523384066,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/15/1998,83,95,100,99,80,77,96,100,99,98,100,50,43,51,56,60,,31,16,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NC,EDENTON,27932,2523384066,Local,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,09/15/1998,90,97,99,97,67,71,96,99,100,100,98,58,46,64,69,61,79,45,19,20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,SALISBURY,28147,7046337213,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/24/2001,97,92,100,94,52,59,86,99,95,90,99,70,67,71,72,73,91,60,11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,GASTONIA,28054,7048641131,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,05/24/2001,97,95,100,93,93,92,92,100,97,94,100,72,66,77,75,79,100,51,14,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,ROCKY MOUNT,27804,2524437083,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/15/2002,82,79,100,99,80,78,84,99,92,88,99,55,54,53,71,72,76,52,16,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,WASHINGTON,27889,2529467145,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11/07/2002,74,84,99,80,76,67,91,98,97,95,99,59,60,61,63,75,96,50,16,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC,KING,27021,3369832110,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,07/03/2003,92,90,100,98,77,74,94,99,99,95,100,66,61,65,59,75,87,45,13,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
